Latitude,Longitude
-31.594192047,115.671598749
-31.594192073000002,115.671598726
-31.594192099999997,115.67159870299999
-31.594192119,115.67159869999999
-31.594194424,115.67160187399999
-31.594195443,115.671602818
-31.594196189999995,115.671603019
-31.594196744999998,115.671602992
-31.594197185000002,115.671602874
-31.594197658999995,115.67160270699999
-31.594196148,115.67160313599999
-31.594196657999998,115.671601717
-31.594197762999997,115.671600273
-31.594198782999996,115.67159906500001
-31.59419963,115.6715981
-31.594200345999997,115.671597288
-31.594201275,115.671596297
-31.594201998,115.671595565
-31.594202587999998,115.671594972
-31.594203038999996,115.671594495
-31.594203427999997,115.67159407599999
-31.594203820999997,115.671593628
-31.594204155,115.671593246
-31.594204426999998,115.671592942
-31.594204685,115.67159267299999
-31.594204910000002,115.671592448
-31.594205163999998,115.671592244
-31.594205383999995,115.671592072
-31.594205558999995,115.671591928
-31.594205693,115.67159179699999
-31.594205817,115.67159167899999
-31.594205911,115.67159148699999
-31.594205997000003,115.67159131099999
-31.594206099,115.67159113800001
-31.594206192,115.67159098399999
-31.594206272,115.67159085699998
-31.59420633,115.67159069
-31.594206367,115.671590545
-31.594206402999994,115.671590403
-31.594206435,115.671590288
-31.594206448,115.671590171
-31.594206451999998,115.67158997499999
-31.594206464999996,115.671589793
-31.594206458,115.67158963599998
-31.594206448999998,115.671589545
-31.594206470999996,115.67158945899999
-31.594206470999996,115.671589365
-31.594206451999998,115.67158926199998
-31.594206442,115.67158915299999
-31.594206452999995,115.671589078
-31.594206467,115.67158902199999
-31.594206470999996,115.67158905999999
-31.594206485,115.671589075
-31.594206501,115.67158908699999
-31.594206529,115.67158908900001
-31.594206561,115.671589098
-31.594206551999996,115.671589246
-31.594206533999994,115.67158937
-31.594206506,115.671589507
-31.594206487999998,115.67158961300001
-31.594206468,115.67158970799998
-31.594206431,115.671589897
-31.594206395999997,115.67159006199998
-31.59420637,115.671590204
-31.594206341,115.67159033699998
-31.594206304,115.671590443
-31.594206218999997,115.67159058099999
-31.594206149999998,115.67159073299999
-31.594206095999997,115.671590877
-31.594206048,115.67159098699999
-31.594205991000003,115.67159107399999
-31.594205919999997,115.67159123199998
-31.594205857,115.67159136800001
-31.594205811,115.67159147599999
-31.59420577,115.67159160099999
-31.594205716,115.67159173900001
-31.594205658999996,115.67159188199999
-31.594205601999995,115.671592018
-31.594205543999998,115.67159214899999
-31.594205474,115.67159230499999
-31.594205423000002,115.671592421
-31.594205373,115.67159259
-31.594205332999998,115.671592749
-31.594205298000002,115.671592868
-31.594205241,115.67159299000001
-31.594205172000002,115.67159313599998
-31.594205076999998,115.67159335299999
-31.594204998000002,115.671593523
-31.59420493,115.671593676
-31.594204861,115.671593814
-31.594204779000002,115.671593952
-31.594204737,115.6715941
-31.594204708999996,115.671594206
-31.594204676999997,115.67159432
-31.594204656,115.67159439699999
-31.594204624,115.67159447899999
-31.594204543999997,115.671594597
-31.594204483999995,115.67159473299999
-31.594204420999997,115.67159484
-31.594204354000002,115.671594915
-31.594204293999997,115.67159503299999
-31.594204249,115.671595172
-31.594204192,115.671595301
-31.594204163999997,115.67159537999999
-31.594204155,115.67159543199999
-31.59420413,115.671595498
-31.594204095999995,115.671595588
-31.594204077999997,115.67159565099999
-31.594204064999996,115.67159570099999
-31.594204043999998,115.67159574899999
-31.594204016000003,115.67159577599999
-31.594203976,115.67159585699999
-31.594203948,115.671595947
-31.594203914999998,115.67159602699999
-31.594203882,115.671596099
-31.594203856,115.67159620199999
-31.594203786999998,115.671596238
-31.594203736999997,115.67159623199998
-31.594203699999998,115.67159623399999
-31.594203648,115.67159626099999
-31.594203601999997,115.67159628399999
-31.594203552999996,115.671596272
-31.59420351,115.67159623299999
-31.594203470999997,115.671596204
-31.594203429,115.671596198
-31.594203376999996,115.67159617499999
